Core,Latitude,Longitude,Water depth (m),Annual Averaged SST,A-M-J,J-F-M,J-A-S,O-N-D,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber total,Globoturborotalita tenella,Globigerinoides sacculifer w/o sac,Globigerinoides sacculifer with sac,Globigerinoides sacc total,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera (=aequilateralis),Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita humilis,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides L,Globorotalia truncatulinoides R,Globorotalia truncatulinoides total,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii,Globorotalia tumida,Globorotalia menardii flexuosa,Globorotalia menardii + tumida,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Berggrenia pumilio + T. humilis,Globigerinita uvula,Other ID,Other UnID,Total Planktics
DW079,-23.62,-118.23,3440,24.3368,24.9821,25.8089,22.9818,23.5744,0.99,9.9,0,71.49,71.49,0.59,2.57,1.39,3.96,0,0,5.35,1.39,0.4,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,1.19,1.58,0.4,0.59,0,0,0,0,0,0,0,0.59,1.58,0,0,0,0,0,0.79,100
DW082,-22.08,-115.2,3100,24.4344,24.9594,25.9408,23.2427,23.5947,0.26,3.96,0,61.74,61.74,2.37,2.64,1.32,3.96,0,0,3.96,1.85,1.32,0.53,0.26,0,0,0,0,0,0,0.26,0,0.26,0.26,1.32,0.79,2.11,0,0,0.26,0.26,0,0.26,0,0,0.26,1.06,14.25,0,0,0,0,0,0.79,100
DW089,-4.03,-113.3,4140,24.9253,26.7016,25.5402,24.0528,23.4066,0,0,0,0.21,0.21,0,0,0.64,0.64,0,0,0.21,0,0,0,0.21,0,0,0,0,1.5,76.02,0.64,0,2.78,0,0,0,0,0,0,0,0,0,7.71,9.64,0,17.34,0,0,0,0,0,0,0,0.43,100
DW123,-26.3,-115.72,2580,23.1842,23.7422,25.1368,21.2944,22.5633,1.2,8.87,0,62.83,62.83,1.2,1.68,1.44,3.12,0,7.91,1.44,0.72,0.48,0,0.72,0.24,0,0,0,0,0,0,0.24,0,0.24,0.96,2.88,3.84,0.24,0,0,0,0,0,0,0,0,0.24,4.56,0,0,0,0,0,1.92,100
DW130,-14.73,-112.1,3120,24.8635,25.3841,25.626,24.2066,24.237,0.29,2.34,0,34.5,34.5,1.46,6.14,3.22,9.36,0,0,2.92,1.17,4.39,0.58,0,0.29,0,0,0,0.29,0.88,3.51,0.58,2.92,0,0,0,0,0.29,0,0.58,0,0,1.46,0.58,0,2.05,0,29.82,0,0,0,0,0,1.75,100
DW134,-11.7,-109.72,3230,24.9191,25.9828,25.3261,24.4715,23.8959,0,1.12,0,24.37,24.37,0.84,3.64,5.04,8.68,0.28,0,3.08,0.56,5.32,0.56,0,0.28,0,0,0,0,3.36,7.56,1.4,6.44,0,0,0,0,0,0,0.28,0,0,1.96,2.24,0,4.2,0,30.53,0,0,0,0,0,1.12,100
DW137,-9.88,-110.68,2770,25.2485,26.3672,25.6741,24.6553,24.2974,0.41,0.69,0,26.55,26.55,1.65,6.19,4.4,10.59,0.28,0,1.51,2.2,2.61,0.83,0,1.38,0,0.14,0,0.96,6.88,3.99,0.83,5.91,0,0,0,0,0.28,0,0,0.14,0,5.91,1.93,0,7.84,0,23.93,0,0,0,0,0,0.41,100
DW147B,1.45,-116.22,4000,25.0074,26.1097,25.9012,24.3587,23.66,0,0,0,0,0,0,0,0.55,0.55,0,0,0.28,0,0,0,0.83,0,0,0,0,4.13,73.28,0,0,3.58,0,0,0,0,0.28,0,0,0,0,4.96,11.85,0,16.8,0,0,0,0,0.28,0,0,0,100
DW149,4.13,-115.77,4160,26.5341,27.5149,26.5736,25.7674,26.2806,0,0.31,0,0,0,0,0,0,0,1.54,0,0,0,0,0,0.62,0,0,0,0,0.62,66.36,0,0,4.94,0,0,0,0,0,0,0,0,0,5.56,19.75,0,25.31,0,0,0,0,0,0,0,0.31,100
DWD-10BG,6.9,-131,4340,27.3789,27.5358,26.6717,27.7965,27.5116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,87,0,87,0,0,0,0,0,0,0,0,99
DWD-11BG,5.43,-131.32,4155,27.2975,27.9561,26.6903,27.3877,27.1561,2,1,0,6,6,0,9,0,9,1,0,2,0,0,0,0,0,0,0,0,0,25,10,0,16,0,0,0,0,0,0,0,0,0,10,15,0,25,0,2,0,0,0,0,0,0,99
DWD-12BG,3.2,-131.52,4438,26.4674,27.4311,26.074,25.9814,26.3833,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,45,0,0,1,0,0,0,0,0,0,0,0,0,1,52,0,53,0,0,0,0,0,0,0,0,101
DWD-12HH,-6.03,-131.6,4700,26.7828,27.7374,26.9803,26.269,26.1445,1,0,0,0,0,0,0,0,0,4,0,1,1,0,0,1,0,0,0,1,0,17,0,0,14,1,0,1,1,0,0,0,0,0,2,60,0,62,0,0,0,0,0,0,0,0,104
DWD-13BG,1.02,-132.23,4392,25.72,26.4725,25.5923,25.4639,25.3511,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,70,1,0,8,0,0,0,0,1,0,0,0,0,1,19,0,20,0,1,0,0,0,0,0,0,104
DWD-143,-3.62,-114.3,4310,25.0163,26.6734,25.738,24.2458,23.408,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,78,0,0,1,0,0,0,0,0,0,0,0,0,1,16,0,17,0,0,0,0,0,0,0,0,98
DWD-15BG,-3.03,-131.88,3369,26.2424,27.3179,26.5297,25.3581,25.7637,0,1,0,9,9,0,13,0,13,0,0,5,4,0,0,0,0,0,0,0,0,15,8,2,11,0,0,0,0,0,0,0,0,0,8,4,0,12,0,18,0,0,0,0,0,0,98
DWD-16BG,-6.08,-132.88,4855,26.8453,27.6855,26.9686,26.4735,26.2533,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,1,85,0,86,0,0,0,0,0,0,0,0,102
DWD-46BG,-36.38,-137.25,4680,16.6196,17.4365,18.919,14.7054,15.4173,1,4,0,0,0,1,0,0,0,0,0,0,0,7,0,1,0,6,0,3,0,2,0,0,0,18,0,36,36,21,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,100
DWD-47BG,-36.55,-137.4,4700,16.5183,17.3314,18.8801,14.5728,15.2889,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,3,0,1,0,0,0,28,0,31,31,25,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,97
